task_id,task_type,difficulty,instruction,input
0,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
1,summarization,easy,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
2,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
3,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
4,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
5,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
6,reasoning,easy,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
7,summarization,hard,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
8,translation,easy,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
9,reasoning,medium,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
10,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
11,qa,medium,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
12,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
13,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
14,qa,medium,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
15,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
16,reasoning,easy,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
17,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
18,reasoning,medium,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
19,summarization,hard,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
20,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
21,qa,easy,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
22,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
23,translation,hard,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
24,summarization,medium,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
25,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
26,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
27,reasoning,hard,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
28,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
29,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
30,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
31,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
32,qa,medium,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
33,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
34,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
35,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
36,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
37,summarization,hard,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
38,reasoning,medium,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
39,translation,hard,Translate this English text to French: I love learning new languages.,I love learning new languages.
40,qa,easy,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
41,reasoning,medium,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
42,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
43,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
44,reasoning,easy,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
45,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
46,reasoning,medium,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
47,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
48,reasoning,medium,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
49,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
50,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
51,qa,hard,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
52,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
53,reasoning,hard,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
